,City,Country,Date,Max Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Barrow,US,1548976500,21.02,65,90,10.29,39.51,-90.4
1,Cape Town,ZA,1548975600,71.6,60,0,10.29,-33.93,18.42
2,Kapaa,US,1548975360,78.08,63,90,26.4,22.08,-159.32
3,Egvekinot,RU,1548977691,-14.31,62,0,2.82,66.32,-179.17
4,Ushuaia,AR,1548975600,48.2,76,90,9.17,-54.81,-68.31
5,Pacific Grove,US,1548975300,60.08,69,40,1.81,36.62,-121.92
6,Aktau,KZ,1548975600,28.4,92,75,8.95,43.65,51.16
7,Kathmandu,NP,1548975000,46.4,93,75,3.36,27.71,85.32
8,Aiani,GR,1548977693,26.83,91,0,3.27,40.17,21.82
9,Albany,AU,1548975600,62.6,88,0,13.87,-35.02,117.88
10,Avarua,CK,1548975600,87.8,70,40,5.82,-21.21,-159.78
11,Port Elizabeth,ZA,1548975600,66.2,88,40,9.17,-33.92,25.57
12,Hermanus,ZA,1548977694,66.79,72,0,11.77,-34.42,19.24
13,Dicabisagan,PH,1548977694,72.41,100,92,11.65,17.08,122.42
14,Dikson,RU,1548977695,-17.95,81,0,5.39,73.51,80.55
15,Wloszczowa,PL,1548977695,18.95,80,8,3.15,50.85,19.97
16,Puerto Ayora,EC,1548975600,82.4,74,20,11.41,-0.74,-90.35
17,Rikitea,PF,1548977696,81.37,99,8,7.85,-23.12,-134.97
18,Punta Arenas,CL,1548975600,50,66,75,24.16,-53.16,-70.91
19,Ambilobe,MG,1548977696,72.01,98,80,3.38,-13.19,49.05
20,Longyearbyen,SJ,1548975000,30.2,68,40,21.92,78.22,15.64
21,Bambous Virieux,MU,1548975600,78.8,78,20,2.24,-20.34,57.76
22,Lakhi,PK,1548977698,49.24,93,8,6.62,27.85,68.7
23,Garca,BR,1548977417,82.54,55,24,3.38,-22.21,-49.66
24,Santo Antonio do Ica,BR,1548977699,78.22,93,20,1.81,-3.1,-67.94
25,Vestmanna,FO,1548975000,33.8,69,48,17.22,62.16,-7.17
26,Bestobe,KZ,1548977699,-26.37,41,0,3.04,52.5,73.1
27,Lompoc,US,1548976680,60.8,67,75,6.93,34.64,-120.46
28,Bedesa,ET,1548977406,44.56,81,0,2.04,8.9,40.78
29,Roebourne,AU,1548977700,83.98,65,8,6.85,-20.77,117.15
30,Vanavara,RU,1548977701,-37.8,74,0,4.72,60.35,102.28
31,Saint George,BM,1548975300,62.6,59,75,9.17,32.38,-64.68
32,Vaini,TO,1548975600,87.8,74,20,8.05,-21.2,-175.2
33,Rosario,AR,1548975600,78.8,83,75,3.36,-32.96,-60.66
34,Buala,SB,1548977702,86.23,81,20,6.85,-8.15,159.59
35,Lima,PE,1548975600,80.6,69,40,9.17,-12.06,-77.04
36,Lagoa,PT,1548975600,59,100,75,19.46,37.14,-8.45
37,Bluff,NZ,1548977703,56.26,100,24,27.54,-46.6,168.33
38,Sobolevo,RU,1548977703,30.74,96,76,9.75,54.43,31.9
39,Hilo,US,1548975180,78.98,60,1,13.87,19.71,-155.08
40,Gigmoto,PH,1548977704,75.43,100,44,13.33,13.78,124.39
41,Campbell River,CA,1548975600,42.8,93,90,2.24,50.02,-125.24
42,Nhulunbuy,AU,1548975600,84.2,79,40,14.99,-12.18,136.78
43,Graham,US,1548976500,59,44,1,2.15,47.04,-122.28
44,Ribeira Grande,PT,1548977569,59.86,100,64,11.99,38.52,-28.7
45,Maragogi,BR,1548977705,79.12,84,92,5.95,-9.01,-35.22
46,Kodiak,US,1548975300,24.08,64,1,5.82,39.95,-94.76
47,Saint-Philippe,RE,1548975600,78.8,78,0,19.46,-21.36,55.77
48,New Norfolk,AU,1548975600,60.8,38,40,9.17,-42.78,147.06
49,Hirara,JP,1548975600,62.6,67,75,13.87,24.8,125.28
50,Wasilla,US,1548975540,28.94,71,1,2.37,61.58,-149.44
51,Swakopmund,NA,1548975600,60.8,87,0,9.17,-22.68,14.53
52,Yellowknife,CA,1548975600,-13.01,69,75,12.75,62.45,-114.38
53,Tiksi,RU,1548977708,-45.36,0,0,2.71,71.64,128.87
54,Nyurba,RU,1548977708,-40.95,91,8,3.6,63.29,118.35
55,Amapa,BR,1548977709,79.03,89,20,2.71,-1.83,-56.23
56,Ryde,GB,1548975000,32,100,75,11.41,50.73,-1.16
57,Nikolskoye,RU,1548975600,17.6,92,75,4.72,59.7,30.79
58,Tasiilaq,GL,1548975000,14,61,8,6.93,65.61,-37.64
59,Hithadhoo,MV,1548977709,83.53,100,36,14.45,-0.6,73.08
60,Thinadhoo,MV,1548977710,82.94,100,76,14.34,0.53,72.93
61,Esik,KZ,1548975600,26.6,92,90,4.47,43.36,77.47
62,Havelock,US,1548975480,37.04,51,1,4.61,34.88,-76.9
63,Hirado,JP,1548975600,41,60,40,18.34,33.32,129.49
64,Hobart,AU,1548975600,60.8,38,40,9.17,-42.88,147.33
65,Yulara,AU,1548975600,86,23,0,17.22,-25.24,130.99
66,East London,ZA,1548977613,71.6,100,32,4.83,-33.02,27.91
67,Kannur,IN,1548977712,66.07,65,0,2.26,11.88,75.37
68,Skovorodino,RU,1548977712,-26.32,38,0,3.15,53.99,123.94
69,Busselton,AU,1548977713,73.18,85,0,5.73,-33.64,115.35
70,Abapo,BO,1548977713,74.62,55,0,5.61,-18.83,-63.47
71,Natchitoches,US,1548976500,57.02,62,90,8.05,31.76,-93.09
72,Rapid Valley,US,1548976500,44.6,64,1,6.93,44.06,-103.15
73,Bilma,NE,1548977714,47.26,45,0,2.82,18.69,12.92
74,Port Lincoln,AU,1548977714,71.47,75,0,15.79,-34.72,135.86
75,Chakulia,IN,1548977715,48.29,78,0,3.94,22.48,86.72
76,Burnie,AU,1548977715,58.73,100,32,6.4,-41.05,145.91
77,Coquimbo,CL,1548975600,64.4,82,75,9.17,-29.95,-71.34
78,Petrivka,UA,1548977715,31.33,95,56,11.43,48.39,37.78
79,Jamestown,SH,1548977716,74.71,100,24,13.44,-15.94,-5.72
80,Saskylakh,RU,1548977716,-21.24,62,56,3.15,71.97,114.09
81,Butembo,CD,1548977716,55.76,87,0,3.49,0.12,29.29
82,Tura,RU,1548977717,-29.25,46,36,3.71,64.27,100.22
83,Atuona,PF,1548977717,81.5,100,76,16.69,-9.8,-139.03
84,Sisimiut,GL,1548977717,-7.74,100,0,5.39,66.94,-53.67
85,Beloha,MG,1548977718,76.28,70,24,11.77,-25.17,45.06
86,Balikpapan,ID,1548975600,75.2,94,20,5.82,-1.24,116.86
87,Aniva,RU,1548975600,14,66,40,13.42,46.71,142.53
88,Luderitz,NA,1548977718,60.04,80,8,17.02,-26.65,15.16
89,Lovozero,RU,1548977719,5.59,81,80,2.71,68.01,35.02
90,Victoria,SC,1548975600,78.8,88,48,4.7,-4.62,55.45
91,Ntcheu,MW,1548977720,65.89,98,8,2.93,-14.82,34.64
92,Komsomolskiy,RU,1548977454,-39.55,0,0,3.49,67.55,63.78
93,Kudahuvadhoo,MV,1548977721,82.09,100,24,15.01,2.67,72.89
94,Lavrentiya,RU,1548977721,8.24,75,0,14.34,65.58,-170.99
95,Katangli,RU,1548977721,19.27,93,88,29.33,51.71,143.23
96,College,US,1548975480,1.04,82,1,5.28,64.86,-147.8
97,Black River,JM,1548975600,80.6,78,40,10.29,18.03,-77.85
98,Pocoes,BR,1548972000,77,65,0,16.11,-14.53,-40.37
99,Bikaner,IN,1548977722,46.18,98,76,6.96,28.02,73.32
100,Sao Filipe,CV,1548977455,71.33,97,80,15.57,14.9,-24.5
101,Sundsvall,SE,1548975000,14,85,90,1.12,62.39,17.31
102,Mattru,SL,1548977723,78.8,73,0,5.73,7.62,-11.83
103,Bredasdorp,ZA,1548975600,69.8,77,64,12.75,-34.53,20.04
104,Butaritari,KI,1548977724,83.48,100,92,12.1,3.07,172.79
105,Buchanan,LR,1548973800,77,94,20,5.95,5.88,-10.05
106,Hue,VN,1548975600,68,100,75,3.36,16.47,107.58
107,Xiashi,CN,1548977725,54.73,97,92,6.85,22.12,106.89
108,Bethel,US,1548975360,19.04,80,1,5.82,60.79,-161.76
109,Aklavik,CA,1548975600,-5.81,76,75,10.29,68.22,-135.01
110,Belmonte,BR,1548977726,79.61,84,12,4.94,-26.84,-53.58
111,Qazigund,IN,1548977727,27.14,93,88,2.26,33.59,75.17
112,Halifax,CA,1548975600,12.2,66,75,20.8,44.65,-63.58
113,Arraial do Cabo,BR,1548977603,79.43,82,8,16.69,-22.97,-42.02
114,Cururupu,BR,1548977727,81.37,79,80,7.74,-1.82,-44.87
115,Tyret Pervaya,RU,1548977728,1.94,74,64,7.85,53.67,102.31
116,Aswan,EG,1548977728,48.11,78,0,5.73,24.09,32.9
117,Kavaratti,IN,1548977728,82.09,100,0,2.59,10.57,72.64
118,Bonavista,CA,1548977728,27.91,100,24,28.54,48.65,-53.11
119,Iqaluit,CA,1548975600,15.8,61,90,5.82,63.75,-68.52
120,Shingu,JP,1548975600,39.2,55,20,16.11,33.72,135.99
121,Rosarito,MX,1548974460,75.2,41,75,9.17,27.04,-109.91
122,Rawson,AR,1548977729,73.04,22,0,21.5,-43.3,-65.11
123,Klaksvik,FO,1548975000,33.8,69,8,17.22,62.23,-6.59
124,Hambantota,LK,1548977625,76.73,100,0,13.78,6.12,81.12
125,Prince Rupert,CA,1548975600,42.8,87,90,4.7,54.32,-130.32
126,Krasnyy Chikoy,RU,1548977730,11.93,55,56,3.94,50.36,108.75
127,Biltine,TD,1548977580,76.24,35,24,8.75,14.53,20.93
128,Sal Rei,CV,1548975600,68,77,75,13.87,16.18,-22.92
129,Dingle,IE,1548977731,39.38,100,88,33.58,52.14,-10.27
130,Berdigestyakh,RU,1548977732,-33.34,58,56,3.71,62.1,126.7
131,Tuatapere,NZ,1548977732,54.28,98,36,18.81,-46.13,167.69
132,Seoul,KR,1548975600,19.4,72,0,2.24,37.57,126.98
133,Tingo Maria,PE,1548975600,78.8,83,20,0.47,-9.29,-76.01
134,Bagdarin,RU,1548977733,-14.13,72,44,1.25,54.44,113.59
135,Borborema,BR,1548977733,84.2,63,8,3.71,-21.62,-49.07
136,Vidim,RU,1548977733,-10.12,66,44,4.05,56.41,103.11
137,Portland,AU,1548977734,60.8,91,80,5.39,-33.35,149.98
138,Carnarvon,AU,1548975600,80.6,65,0,11.41,-24.87,113.63
139,Qaanaaq,GL,1548977734,-11.43,100,20,8.52,77.48,-69.36
140,Tuktoyaktuk,CA,1548975600,-18.41,75,20,9.17,69.44,-133.03
141,Mandalgovi,MN,1548977735,1.99,50,0,14.23,45.76,106.27
142,Kuandian,CN,1548977735,-3.37,49,0,2.37,40.73,124.78
143,Binzhou,CN,1548977736,21.07,77,0,9.19,37.38,117.96
144,Luanda,AO,1548977736,80.24,89,68,5.73,-8.83,13.24
145,Inta,RU,1548977736,-18.63,82,24,3.71,66.04,60.13
146,Lewiston,US,1548975360,46.04,55,1,2.48,46.42,-117.02
147,Kibaya,TZ,1548977737,63.05,89,0,3.6,-5.32,36.56
148,Luena,AO,1548977737,64.63,98,88,2.71,-11.78,19.91
149,Dunedin,NZ,1548977586,51.49,94,92,18.14,-45.87,170.5
150,Ilulissat,GL,1548975000,3.2,54,5,13.87,69.22,-51.1
151,Port-Cartier,CA,1548975600,-0.41,59,20,12.75,50.03,-66.88
152,Dobson,NZ,1548977738,61.93,98,100,5.73,-42.45,171.31
153,Dinguiraye,GN,1548977739,68.18,64,0,3.15,11.29,-10.71
154,Ponta do Sol,CV,1548975600,69.8,68,40,18.34,17.2,-25.09
155,Castro,CL,1548975600,59,82,90,11.41,-42.48,-73.76
156,Byron Bay,AU,1548975600,84.2,78,8,9.17,-28.65,153.62
157,Wanaka,NZ,1548977740,56.89,59,0,5.17,-44.7,169.14
158,Dedougou,BF,1548977740,69.08,33,0,6.06,12.47,-3.47
159,Chokurdakh,RU,1548977741,-33.52,61,32,3.83,70.62,147.9
160,Cabo San Lucas,MX,1548974700,78.8,60,75,14.99,22.89,-109.91
161,Lujan,AR,1548977741,64.4,18,44,14.67,-46.57,-67.67
162,Orotukan,RU,1548977741,-28.75,44,56,2.82,62.26,151.67
163,Ambon,ID,1548975600,78.8,83,40,8.05,-3.7,128.18
164,Port Alfred,ZA,1548977742,69.04,99,88,10.76,-33.59,26.89
165,Balkhash,KZ,1548977742,2.08,67,8,12.77,46.84,74.98
166,Esperance,AU,1548975600,66.2,59,0,19.46,-33.86,121.89
167,Tokonou,GN,1548977743,70.66,43,0,4.94,9.65,-9.78
168,Provideniya,RU,1548975600,10.4,66,0,15.66,64.42,-173.23
169,Grand Gaube,MU,1548975600,78.8,78,20,2.24,-20.01,57.66
170,Svetlogorsk,RU,1548975600,1.4,84,75,11.18,53.14,59.15
171,Pisco,PE,1548975600,71.6,30,75,8.05,-13.71,-76.2
172,San Policarpo,PH,1548977744,75.38,98,76,12.21,12.18,125.51
173,Arusha,TZ,1548972000,75.2,64,0,4.61,-3.37,36.69
174,Assare,BR,1548977745,75.61,73,32,3.38,-6.87,-39.88
175,Saint-Joseph,RE,1548975600,78.8,78,0,19.46,-21.37,55.62
176,Mahebourg,MU,1548975600,78.8,78,20,2.24,-20.41,57.7
177,Leningradskiy,RU,1548977679,-2.43,86,64,23.06,69.38,178.42
178,Entre Rios,BO,1548975600,68,82,75,5.82,-21.53,-64.17
179,Georgetown,SH,1548977747,80.38,100,92,13.44,-7.93,-14.42
180,Mnogovershinnyy,RU,1548977584,7.88,73,68,10.09,53.94,139.92
181,Kisangani,CD,1548977747,71.92,100,36,3.04,0.52,25.21
182,Sitka,US,1548977748,42.08,59,0,3.38,37.17,-99.65
183,Fort Nelson,CA,1548975600,-2.21,70,75,3.36,58.81,-122.69
184,Speightstown,BB,1548975600,77,69,20,12.75,13.25,-59.65
185,Agadez,NE,1548977749,56.08,30,0,7.63,16.97,7.99
186,Fortuna,US,1548975300,62.6,100,1,10.29,40.6,-124.16
187,Ahipara,NZ,1548977749,76.1,66,20,1.92,-35.17,173.16
188,Uige,AO,1548977750,67.28,99,76,2.15,-7.61,15.06
189,Perevolotskiy,RU,1548977750,4.1,81,24,7.63,51.88,54.19
190,Puerto Vallarta,MX,1548974700,78.8,74,90,10.29,20.61,-105.23
191,Dubbo,AU,1548975600,78.8,50,12,25.28,-32.25,148.6
192,Huarmey,PE,1548977751,74.03,68,24,3.71,-10.07,-78.15
193,Tuy Hoa,VN,1548977543,70.39,97,32,10.54,13.08,109.3
194,Eyl,SO,1548977609,71.51,100,48,14.79,7.98,49.82
195,Lebu,CL,1548977752,57.83,89,0,23.73,-37.62,-73.65
196,Kula,TR,1548977752,38.89,90,0,8.86,38.55,28.65
197,Puerto Montt,CL,1548975600,60.8,72,75,8.05,-41.47,-72.94
198,Iquique,CL,1548975600,78.8,69,0,18.34,-20.22,-70.14
199,Msowero,TZ,1548972000,77,78,20,2.82,-6.53,37.2
200,Chuy,UY,1548977623,71.47,95,88,8.97,-33.69,-53.46
201,Ligayan,PH,1548977754,81.19,99,20,13.22,4.65,119.47
202,Waipawa,NZ,1548977754,80.33,52,0,12.66,-39.94,176.59
203,Fairbanks,US,1548975480,-7.97,82,1,5.28,64.84,-147.72
204,Richards Bay,ZA,1548977633,74.48,84,76,1.92,-28.77,32.06
205,Khatanga,RU,1548977755,-29.65,50,48,8.41,71.98,102.47
206,Sandviken,SE,1548977755,21.56,94,80,4.5,60.62,16.77
207,Bandar,ID,1548977756,72.5,100,44,3.94,-4.2,104.14
208,Coihaique,CL,1548975600,57.2,47,40,8.05,-45.58,-72.07
209,Nome,US,1548976500,56.84,73,90,10.29,30.04,-94.42
210,Torbay,CA,1548976800,30.2,80,90,29.97,47.66,-52.73
211,Marrakesh,MA,1548975600,48.2,81,0,5.82,31.63,-7.99
212,Guerrero Negro,MX,1548977757,64.58,71,32,4.5,27.97,-114.04
213,Cardoso,BR,1548977757,83.84,65,56,1.14,-20.08,-49.91
214,Fayaoue,NC,1548977758,76.69,100,92,21.27,-20.65,166.53
215,Laredo,US,1548977100,58.1,93,90,8.05,27.51,-99.51
216,Kidal,ML,1548977758,49.51,45,0,3.94,18.44,1.41
217,Touros,BR,1548975600,82.4,78,40,11.41,-5.2,-35.46
218,Zwedru,LR,1548977759,74.62,96,0,5.39,6.07,-8.13
219,Ntungamo,UG,1548977759,55.72,75,0,2.37,-0.87,30.27
220,Winneba,GH,1548975600,82.4,88,75,11.41,5.35,-0.62
221,Isiro,CD,1548977760,72.41,83,56,2.59,2.77,27.62
222,Balyaga,RU,1548977760,11.17,57,80,4.38,51.15,108.93
223,Coolum Beach,AU,1548977760,78.49,85,92,5.17,-26.53,153.09
224,Wellington,CA,1548975600,12.2,66,75,20.8,44.87,-63.61
225,Clyde River,CA,1548975600,-18.41,82,90,2.24,70.47,-68.59
226,Huaiyuan,CN,1548977761,24.49,85,12,7.18,32.97,117.2
227,Kruisfontein,ZA,1548977687,66.74,98,92,11.99,-34,24.73
228,Katsuura,JP,1548975600,39.2,69,75,11.41,33.93,134.5
229,Mahibadhoo,MV,1548977762,81.46,100,0,14.79,3.78,72.97
230,Camabatela,AO,1548977763,65.03,97,80,2.48,-8.19,15.37
231,Gold Coast,AU,1548975600,82.4,61,75,8.05,-28,153.41
232,Severo-Kurilsk,RU,1548977763,31.06,100,88,16.8,50.68,156.12
233,Monrovia,LR,1548973800,77,94,20,5.5,6.33,-10.8
234,Gandorhun,SL,1548977764,77.54,60,0,7.96,8.44,-10.86
235,Portage,US,1548976800,-0.41,70,90,4.94,41.58,-87.18
236,Kencong,ID,1548977764,73.63,94,20,4.16,-7.78,112.24
237,Cherskiy,RU,1548977765,-27.81,44,76,5.61,68.75,161.3
238,Panzhihua,CN,1548977765,31.87,73,0,1.48,26.59,101.72
239,Vardo,NO,1548973200,19.4,79,75,8.05,70.37,31.11
240,Baykit,RU,1548977766,-38.29,75,20,4.5,61.68,96.39
241,Ankazoabo,MG,1548977766,67.91,96,0,3.15,-22.29,44.51
242,San Felipe,MX,1548977766,62.69,97,0,14.23,31.02,-114.84
243,Pingliang,CN,1548977767,3.83,61,0,2.59,35.54,106.68
244,Mehamn,NO,1548975000,19.4,79,0,13.87,71.03,27.85
245,Lakatoro,VU,1548977768,79.66,96,100,8.08,-16.11,167.42
246,Boppard,DE,1548976800,26.6,92,75,23.04,50.23,7.59
247,Hobyo,SO,1548977768,74.39,87,44,16.35,5.35,48.53
248,Tonstad,NO,1548975000,35.6,64,75,14.99,58.66,6.71
249,Owando,CG,1548977770,70.57,99,48,3.38,-0.49,15.91
250,Cidreira,BR,1548977770,72.59,100,92,1.14,-30.17,-50.22
251,Griffith,AU,1548975600,77,49,0,9.17,-34.29,146.06
252,Genc,TR,1548977771,26.74,92,92,2.48,38.75,40.56
253,Timbuktu,ML,1548977771,59.99,33,0,4.38,16.77,-3.01
254,Haines Junction,CA,1548977771,5,75,12,2.26,60.75,-137.51
255,Ishinomaki,JP,1548975600,32,100,75,3.36,38.42,141.3
256,Isla Mujeres,MX,1548974640,77,69,75,8.05,21.23,-86.73
257,Rundu,NA,1548977772,73.04,74,0,8.41,-17.91,19.77
258,Varzelandia,BR,1548977773,81.41,34,32,9.75,-15.7,-44.03
259,Skibbereen,IE,1548977400,39.2,93,75,13.87,51.55,-9.27
260,Hofn,IS,1548977634,29.62,100,0,25.64,64.25,-15.21
261,Muros,ES,1548975600,46.4,93,40,11.41,42.77,-9.06
262,Beyneu,KZ,1548977774,16.7,88,12,11.77,45.32,55.19
263,Aljezur,PT,1548977774,59.68,99,92,27.76,37.31,-8.8
264,Daloa,CI,1548977775,78.44,83,12,5.39,6.88,-6.45
265,Mar del Plata,AR,1548977559,65.93,33,0,16.8,-46.43,-67.52
266,Petropavlovsk-Kamchatskiy,RU,1548975600,32,90,75,24.61,53.05,158.65
267,Souillac,MU,1548975600,78.8,78,20,2.24,-20.52,57.52
268,Inhambane,MZ,1548977776,78.94,92,100,7.85,-23.87,35.38
269,Ulladulla,AU,1548975600,64.4,77,90,10.29,-35.36,150.48
270,Paracuru,BR,1548975600,82.4,83,40,9.17,-3.41,-39.03
271,Hasaki,JP,1548975600,32,100,20,1.12,35.73,140.83
272,Bulgan,MN,1548977777,-1.12,48,12,5.17,48.81,103.53
273,Bay Roberts,CA,1548976800,30.2,80,90,29.97,47.58,-53.28
274,Surab,PK,1548977778,28.63,79,0,2.26,28.49,66.26
275,Norman Wells,CA,1548975600,-4.01,64,90,13.87,65.28,-126.83
276,Norsup,VU,1548977778,79.66,96,100,8.08,-16.07,167.38
277,Novosergiyevka,RU,1548977779,5.32,76,20,7.96,52.08,53.65
278,Paso de los Toros,UY,1548977779,79.34,78,80,5.95,-32.81,-56.52
279,Ankazobe,MG,1548975600,66.2,82,75,9.17,-18.32,47.12
280,Pangai,TO,1548975600,82.4,78,40,9.17,-19.8,-174.35
281,Caravelas,BR,1548977481,82.94,99,0,15.23,-17.73,-39.27
282,Tra Vinh,VN,1548977780,79.79,72,92,10.09,9.93,106.35
283,Belaya Kholunitsa,RU,1548977780,23.45,90,92,11.65,58.84,50.85
284,Preobrazheniye,RU,1548977781,7.84,43,0,3.15,42.9,133.91
285,Anadyr,RU,1548975600,17.6,85,90,29.08,64.73,177.51
286,Thompson,CA,1548975600,-13.01,62,90,3.36,55.74,-97.86
287,Abonnema,NG,1548972000,80.6,94,20,3.36,4.71,6.79
288,Russellville,US,1548976500,41,52,90,5.82,35.28,-93.13
289,Talnakh,RU,1548977699,-50.35,0,0,2.93,69.49,88.39
290,Awjilah,LY,1548977783,44.33,75,0,3.94,29.14,21.3
